,_step,global_step,eval/rollout/episode_length,eval/rollout/episode_return,eval/grid/mean_td_error,eval/barrier/coverage,eval/barrier/validity_alpha_0.9,eval/constrain/mean_episode_length,run_id,exp_name,seed
139,145456,1410000.0,500.0,500.0,0.6539918780326843,0.053300000727176666,0.9944000244140625,206.89999389648438,bfvarbwb,bump_supervised_base_2M,5
140,146476,1420000.0,500.0,500.0,0.6204378008842468,0.053700000047683716,0.9932000041007996,206.89999389648438,bfvarbwb,bump_supervised_base_2M,5
141,147496,1430000.0,500.0,500.0,0.5812609195709229,0.0502999983727932,0.9940999746322632,158.10000610351562,bfvarbwb,bump_supervised_base_2M,5
142,148516,1440000.0,500.0,500.0,0.5517274737358093,0.05480000004172325,0.9936000108718872,11.600000381469727,bfvarbwb,bump_supervised_base_2M,5
143,149536,1450000.0,500.0,500.0,0.6230175495147705,0.053700000047683716,0.9950000047683716,353.29998779296875,bfvarbwb,bump_supervised_base_2M,5
144,150556,1460000.0,500.0,500.0,0.6269093155860901,0.049800001084804535,0.9944999814033508,11.0,bfvarbwb,bump_supervised_base_2M,5
145,151577,1470000.0,500.0,500.0,0.6538748741149902,0.07609999924898148,0.9907000064849854,9.800000190734863,bfvarbwb,bump_supervised_base_2M,5
146,152597,1480000.0,500.0,500.0,0.6165497303009033,0.07320000231266022,0.9933000206947327,11.100000381469727,bfvarbwb,bump_supervised_base_2M,5
147,153617,1490000.0,500.0,500.0,0.6926661729812622,0.06949999928474426,0.9940000176429749,10.699999809265137,bfvarbwb,bump_supervised_base_2M,5
148,154637,1500000.0,500.0,500.0,0.7156253457069397,0.0714000016450882,0.9934999942779541,10.0,bfvarbwb,bump_supervised_base_2M,5
149,155657,1510000.0,500.0,500.0,0.6834547519683838,0.07020000368356705,0.994700014591217,10.5,bfvarbwb,bump_supervised_base_2M,5
150,156677,1520000.0,500.0,500.0,0.6984426975250244,0.07429999858140945,0.9944000244140625,10.300000190734863,bfvarbwb,bump_supervised_base_2M,5
151,157697,1530000.0,500.0,500.0,0.6749755144119263,0.06629999727010727,0.9940999746322632,10.399999618530273,bfvarbwb,bump_supervised_base_2M,5
152,158717,1540000.0,500.0,500.0,0.6333245038986206,0.06390000134706497,0.993399977684021,108.19999694824219,bfvarbwb,bump_supervised_base_2M,5
153,159737,1550000.0,500.0,500.0,0.634502112865448,0.06459999829530716,0.9947999715805054,60.0,bfvarbwb,bump_supervised_base_2M,5
154,160757,1560000.0,500.0,500.0,0.6419885754585266,0.06350000202655792,0.9940000176429749,108.5999984741211,bfvarbwb,bump_supervised_base_2M,5
155,161777,1570000.0,500.0,500.0,0.6570042967796326,0.06019999831914902,0.9951000213623047,11.0,bfvarbwb,bump_supervised_base_2M,5
156,162798,1580000.0,500.0,500.0,0.7340558767318726,0.07729999721050262,0.9969000220298767,109.0,bfvarbwb,bump_supervised_base_2M,5
157,163818,1590000.0,500.0,500.0,0.7574563026428223,0.09709999710321426,0.9954000115394592,10.800000190734863,bfvarbwb,bump_supervised_base_2M,5
158,164838,1600000.0,500.0,500.0,0.6503234505653381,0.0812000036239624,0.9937000274658203,10.399999618530273,bfvarbwb,bump_supervised_base_2M,5
159,165858,1610000.0,500.0,500.0,0.6810640096664429,0.0778999999165535,0.9954000115394592,10.699999809265137,bfvarbwb,bump_supervised_base_2M,5
160,166878,1620000.0,500.0,500.0,0.6791889667510986,0.07580000162124634,0.993399977684021,10.800000190734863,bfvarbwb,bump_supervised_base_2M,5
161,167898,1630000.0,500.0,500.0,0.6948999166488647,0.07509999722242355,0.9914000034332275,10.699999809265137,bfvarbwb,bump_supervised_base_2M,5
162,168918,1640000.0,500.0,500.0,0.6639444828033447,0.0729999989271164,0.9933000206947327,10.399999618530273,bfvarbwb,bump_supervised_base_2M,5
163,169938,1650000.0,500.0,500.0,0.6741214394569397,0.06719999760389328,0.9933000206947327,59.70000076293945,bfvarbwb,bump_supervised_base_2M,5
164,170958,1660000.0,500.0,500.0,0.6554450988769531,0.07150000333786011,0.9937999844551086,60.0,bfvarbwb,bump_supervised_base_2M,5
165,171978,1670000.0,500.0,500.0,0.6429235935211182,0.0674000009894371,0.992900013923645,157.6999969482422,bfvarbwb,bump_supervised_base_2M,5
166,172998,1680000.0,500.0,500.0,0.663549542427063,0.0674000009894371,0.9926000237464905,206.3000030517578,bfvarbwb,bump_supervised_base_2M,5
167,174018,1690000.0,500.0,500.0,0.6768480539321899,0.06289999932050705,0.9950000047683716,11.399999618530273,bfvarbwb,bump_supervised_base_2M,5
168,175038,1700000.0,500.0,500.0,0.6098306179046631,0.060499999672174454,0.9940999746322632,109.0,bfvarbwb,bump_supervised_base_2M,5
169,176058,1710000.0,500.0,500.0,0.6092531085014343,0.05689999833703041,0.9940999746322632,59.79999923706055,bfvarbwb,bump_supervised_base_2M,5
170,177078,1720000.0,500.0,500.0,0.5968481302261353,0.05559999868273735,0.992900013923645,157.8000030517578,bfvarbwb,bump_supervised_base_2M,5
171,178098,1730000.0,500.0,500.0,0.6097105145454407,0.061500001698732376,0.9922000169754028,108.69999694824219,bfvarbwb,bump_supervised_base_2M,5
172,179118,1740000.0,500.0,500.0,0.609870433807373,0.05909999832510948,0.9945999979972839,60.0,bfvarbwb,bump_supervised_base_2M,5
173,180138,1750000.0,500.0,500.0,0.5824382901191711,0.0640999972820282,0.9936000108718872,19.0,bfvarbwb,bump_supervised_base_2M,5
174,181158,1760000.0,500.0,500.0,0.685248613357544,0.057100001722574234,0.9941999912261963,45.0,bfvarbwb,bump_supervised_base_2M,5
175,182181,1770000.0,500.0,500.0,0.7151575088500977,0.08590000122785568,0.9975000023841858,28.0,bfvarbwb,bump_supervised_base_2M,5
176,183210,1780000.0,274.29998779296875,273.29998779296875,0.7313410639762878,0.07090000063180923,0.9958999752998352,10.0,bfvarbwb,bump_supervised_base_2M,5
177,184233,1790000.0,500.0,500.0,0.6669979691505432,0.06750000268220901,0.9962000250816345,125.0999984741211,bfvarbwb,bump_supervised_base_2M,5
178,185253,1800000.0,500.0,500.0,0.6385548114776611,0.0649000033736229,0.9950000047683716,108.5999984741211,bfvarbwb,bump_supervised_base_2M,5
179,186273,1810000.0,500.0,500.0,0.6472594141960144,0.06459999829530716,0.9952999949455261,206.3000030517578,bfvarbwb,bump_supervised_base_2M,5
180,187293,1820000.0,500.0,500.0,0.6218861937522888,0.06459999829530716,0.9965000152587891,109.0999984741211,bfvarbwb,bump_supervised_base_2M,5
